src,dst
979,2308
980,3664
981,568
982,549
983,1085
984,850
985,423
986,344
987,2043
988,3516
989,2565
990,528
991,1064
992,2762
993,2934
994,2646
995,2242
996,3645
997,2006
998,2204
999,4929
1000,3788
1001,634
1002,3097
1003,2620
1004,1097
1005,519
1006,4949
1007,3886
1008,1977
1009,3876
1010,1288
1011,1763
1012,4475
1013,625
1014,844
1015,1487
1016,986
1017,332
1018,229
1019,3537
1020,940
1021,2456
1022,3721
1023,2155
1024,4068
1025,1188
1026,1210
1027,685
1028,4852
1029,1201
1030,1230
1031,3254
1032,4281
1033,3888
1034,2354
1035,2627
1036,1529
1037,624
1038,903
1039,1716
1040,201
1041,3614
1042,3072
1043,2016
1044,592
1045,3181
1046,528
1047,3603
1048,1757
1049,750
1050,3976
1051,4361
1052,1258
1053,16
1054,3866
1055,730
1056,3490
1057,3787
1058,151
1059,4053
1060,3247
1061,1674
1062,4831
1063,370
1064,1271
1065,2979
1066,742
1067,2612
1068,1962
1069,3563
1070,4796
1071,1642
1072,2240
1073,3150
1074,255
1075,1534
1076,3362
1077,3811
1078,432
1079,36
1080,509
1081,60
1082,4343
1083,3453
1084,2191
1085,3084
1086,1699
1087,1
1088,2118
1089,2491
1090,779
1091,4575
1092,3049
1093,1978
1094,3989
1095,561
1096,4088
1097,3224
1098,1894
1099,4534
1100,4577
1101,829
1102,332
1103,1868
1104,146
1105,4576
1106,1957
1107,2421
1108,2334
1109,2097
1110,4048
1111,4371
1112,2189
1113,941
1114,1773
1115,2326
1116,986
1117,3667
1118,2311
1119,3615
1120,204
1121,3646
1122,1851
1123,2148
1124,4498
1125,641
1126,1815
1127,2017
1128,687
1129,4283
1130,79
1131,3336
1132,1752
1133,3122
1134,3805
1135,2770
1136,3529
1137,2042
1138,2518
1139,4232
1140,82
1141,241
1142,2958
1143,482
1144,4950
1145,753
1146,3196
1147,2062
1148,1240
1149,2327
1150,3669
1151,1142
1152,3152
1153,3630
1154,372
1155,1541
1156,3708
1157,2074
1158,391
1159,4167
1160,4556
1161,3512
1162,1800
1163,2933
1164,2502
1165,2187
1166,4354
1167,3372
1168,1668
1169,962
1170,1910
1171,1576
1172,540
1173,836
1174,958
1175,1583
1176,3217
1177,3706
1178,1368
1179,763
1180,1559
1181,1212
1182,1145
1183,3852
1184,1886
1185,4827
1186,2679
1187,1001
1188,3889
1189,2867
1190,1397
1191,1633
1192,3994
1193,3867
1194,3852
1195,158
1196,1051
1197,42
1198,3551
1199,2666
1200,162
1201,2753
1202,2410
1203,47
1204,1435
1205,863
1206,3909
1207,3154
1208,132
1209,1410
1210,429
1211,1544
1212,2320
1213,220
1214,4817
1215,3423
1216,2743
1217,2188
1218,1316
1219,3270
1220,4625
1221,584
1222,3565
1223,3462
1224,3048
1225,1909
1226,2800
1227,4212
1228,4820
1229,3880
1230,3518
1231,1618
1232,3209
1233,2670
1234,3075
1235,2387
1236,102
1237,3597
1238,44
1239,796
1240,3745
1241,810
1242,3999
1243,1339
1244,4553
1245,3466
1246,2375
1247,2480
1248,3604
1249,1549
1250,1614
1251,2722
1252,3431
1253,4862
1254,3668
1255,3272
1256,2245
1257,4100
1258,2367
1259,3080
1260,1568
1261,125
1262,4646
1263,929
1264,2796
1265,2601
1266,658
1267,1071
1268,3422
1269,2104
1270,1602
1271,1175
1272,3181
1273,1750
1274,2851
1275,2008
1276,1290
1277,2266
1278,1711
1279,2447
1280,4203
1281,3899
1282,3217
1283,351
1284,2523
1285,1443
1286,3994
1287,690
1288,2617
1289,1721
1290,4036
1291,3300
1292,3306
1293,2422
1294,654
1295,371
1296,2883
1297,2138
1298,2213
1299,2415
1300,3289
1301,3333
1302,1596
1303,251
1304,2599
1305,212
1306,2092
1307,1367
1308,1246
1309,3514
1310,2136
1311,749
1312,4007
1313,529
1314,3384
1315,393
1316,2244
1317,2235
1318,47
1319,436
1320,2176
1321,2499
1322,4437
1323,3230
1324,1543
1325,1551
1326,603
1327,4292
1328,3620
1329,2374
1330,1753
1331,4155
1332,219
1333,4360
1334,1360
1335,3812
1336,54
1337,4918
1338,4378
1339,1873
1340,3502
1341,4131
1342,1177
1343,3449
1344,2054
1345,330
1346,3124
1347,2878
1348,3751
1349,1194
1350,2048
1351,1382
1352,1293
1353,783
1354,4941
1355,779
1356,2250
1357,130
1358,1766
1359,3553
1360,4903
1361,1453
1362,1853
1363,3510
1364,3767
1365,2962
1366,2221
1367,1564
1368,1817
1369,764
1370,806
1371,916
1372,2862
1373,1066
1374,4295
1375,1407
1376,1664
1377,2912
1378,2060
1379,595
1380,631
1381,3627
1382,4110
1383,3733
1384,2003
1385,3984
1386,2148
1387,2039
1388,4535
1389,3144
1390,1330
1391,1472
1392,2707
1393,4395
1394,2439
1395,1581
1396,4654
1397,3558
1398,4901
1399,233
1400,2424
1401,4180
1402,1787
1403,217
1404,1212
1405,499
1406,4556
1407,1986
1408,485
1409,2653
1410,2156
1411,4487
1412,3587
1413,1751
1414,1118
1415,4744
1416,2822
1417,315
1418,2053
1419,2342
1420,329
1421,4247
1422,4877
1423,138
1424,3516
1425,342
1426,3674
1427,3257
1428,4639
1429,2472
1430,996
1431,1167
1432,1608
1433,3529
1434,3179
1435,307
1436,3905
1437,1411
1438,3294
1439,4178
1440,1921
1441,2004
1442,1617
1443,4008
1444,3798
1445,2243
1446,647
1447,4584
1448,3957
1449,1141
1450,3398
1451,2692
1452,2477
1453,4048
1454,1477
1455,1859
1456,3859
1457,2282
1458,361
1459,4189
1460,705
1461,2929
1462,614
1463,3157
1464,4950
1465,2233
1466,1893
1467,3626
1468,3109
1469,2128
1470,500
1471,220
1472,2297
1473,1696
1474,946
1475,4436
1476,2103
1477,1188
1478,4866
1479,456
1480,2264
1481,1825
1482,1695
1483,2530
1484,3887
1485,4799
1486,2218
1487,1504
1488,3219
1489,3338
1490,2034
1491,1996
1492,1514
1493,3508
1494,4528
1495,2840
1496,4766
1497,4612
1498,4645
1499,404
1500,820
1501,4349
1502,721
1503,4203
1504,177
1505,3859
1506,1533
1507,1377
1508,3192
1509,920
1510,4741
1511,732
1512,2933
1513,1831
1514,2959
1515,1701
1516,1395
1517,2135
1518,2747
1519,4084
1520,3569
1521,3570
1522,4546
1523,797
1524,1519
1525,1560
1526,2045
1527,2550
1528,851
1529,1036
1530,3622
1531,2131
1532,4091
1533,2095
1534,4787
1535,4226
1536,3526
1537,3189
1538,2660
1539,2850
1540,3785
1541,2080
1542,1078
1543,3491
1544,298
1545,1835
1546,4052
1547,1381
1548,3975
1549,2980
1550,2999
1551,1522
1552,426
1553,1398
1554,3200
1555,2103
1556,2613
1557,1294
1558,4748
1559,1784
1560,2179
1561,1513
1562,4598
1563,1600
1564,197
1565,3907
1566,1744
1567,4101
1568,229
1569,948
1570,630
1571,146
1572,24
1573,468
1574,598
1575,3887
1576,761
1577,577
1578,1244
1579,2247
1580,534
1581,4457
1582,414
1583,4682
1584,2742
1585,4476
1586,904
1587,3919
1588,2967
1589,2144
1590,2027
1591,4104
1592,2825
1593,1142
1594,1159
1595,3159
1596,4227
1597,1442
1598,1066
1599,1527
1600,4581
1601,3650
1602,703
1603,3416
1604,2086
1605,3574
1606,4650
1607,2901
1608,1059
1609,2442
1610,2207
1611,1380
1612,1721
1613,1136
1614,195
1615,2877
1616,2086
1617,1725
1618,2234
1619,4741
1620,1654
1621,1247
1622,1755
1623,2054
1624,2854
1625,2322
1626,3525
1627,1888
1628,4918
1629,3461
1630,4550
1631,2402
1632,4913
1633,3827
1634,3524
1635,4882
1636,4366
1637,2086
1638,4899
1639,2041
1640,4881
1641,2316
1642,335
1643,2972
1644,4632
1645,4744
1646,4740
1647,2517
1648,180
1649,1581
1650,4941
1651,2068
1652,1184
1653,612
1654,1595
1655,3995
1656,547
1657,4476
1658,3713
1659,4930
1660,1013
1661,4878
1662,2531
1663,1876
1664,231
1665,912
1666,2339
1667,4664
1668,3147
1669,1020
1670,4117
1671,4871
1672,1067
1673,2137
1674,318
1675,4491
1676,550
1677,1343
1678,1153
1679,1061
1680,1764
1681,1228
1682,2555
1683,868
1684,3201
1685,3801
1686,421
1687,2296
1688,3223
1689,1384
1690,3479
1691,4858
1692,2147
1693,2302
1694,803
1695,298
1696,3219
1697,4731
1698,3526
1699,3914
1700,3068
1701,3347
1702,1852
1703,4454
1704,1426
1705,1785
1706,4466
1707,1760
1708,334
1709,3829
1710,4677
1711,1023
1712,2375
1713,1743
1714,4372
1715,4438
1716,1913
1717,839
1718,2365
1719,3989
1720,3547
1721,758
1722,1814
1723,1716
1724,1174
1725,4949
1726,4016
1727,1884
1728,2806
1729,2393
1730,4285
1731,2468
1732,4269
1733,2524
1734,4651
1735,2338
1736,2185
1737,3407
1738,3134
1739,574
1740,4997
1741,2093
1742,2458
1743,3345
1744,2046
1745,3325
1746,2167
1747,4934
1748,3506
1749,4544
1750,3551
1751,2275
1752,1012
1753,4009
1754,229
1755,3055
1756,2190
1757,3085
1758,4544
1759,2298
1760,1578
1761,1378
1762,2197
1763,4332
1764,4696
1765,3575
1766,3341
1767,1165
1768,1847
1769,3963
1770,1933
1771,4310
1772,1227
1773,179
1774,2835
1775,1503
1776,2233
1777,1204
1778,73
1779,3960
1780,598
1781,2767
1782,272
1783,4852
1784,2504
1785,3424
1786,2746
1787,884
1788,463
1789,4983
1790,762
1791,3524
1792,1285
1793,1976
1794,4119
1795,2347
1796,4215
1797,4935
1798,2614
1799,1156
1800,3661
1801,2872
1802,4446
1803,3429
1804,2130
1805,669
1806,374
1807,2232
1808,4185
1809,2917
1810,1462
1811,205
1812,784
1813,894
1814,2047
1815,277
1816,4914
1817,732
1818,1758
1819,980
1820,2371
1821,2515
1822,3768
1823,1923
1824,2800
1825,1020
1826,1357
1827,3131
1828,3841
1829,9
1830,3261
1831,1105
1832,200
1833,4549
1834,3417
1835,1459
1836,3452
1837,4763
1838,2613
1839,682
1840,2227
1841,142
1842,194
1843,2426
1844,4831
1845,2164
1846,1097
1847,1296
1848,3082
1849,4969
1850,3423
1851,3395
1852,2195
1853,2701
1854,1938
1855,904
1856,531
1857,3258
1858,2686
1859,910
1860,2171
1861,4167
1862,2695
1863,65
1864,209
1865,4293
1866,3957
1867,448
1868,1339
1869,3024
1870,3184
1871,1845
1872,2696
1873,2606
1874,1169
1875,3321
1876,2862
1877,2120
1878,1222
1879,958
1880,4559
1881,3466
1882,1697
1883,616
1884,62
1885,2557
1886,1114
1887,4056
1888,1817
1889,313
1890,2270
1891,3110
1892,4509
1893,47
1894,184
1895,4757
1896,781
1897,1816
1898,3585
1899,1534
1900,2525
1901,2462
1902,4958
1903,4008
1904,2044
1905,484
1906,3571
1907,1143
1908,2996
1909,3192
1910,1621
1911,3127
1912,2398
1913,991
1914,461
1915,3578
1916,4922
1917,1135
1918,3399
1919,1754
1920,2876
1921,40
1922,4582
1923,3952
1924,994
1925,4505
1926,3940
1927,3276
1928,1873
1929,2369
1930,4378
1931,547
1932,4360
1933,737
1934,3776
1935,668
1936,4039
1937,3020
1938,3563
1939,3897
1940,2
1941,2159
1942,2243
1943,2471
1944,990
1945,4706
1946,3867
1947,2293
1948,1726
1949,4147
1950,2368
1951,709
1952,1674
1953,989
1954,2297
1955,4704
1956,2521
1957,3865
1958,3734
1959,3733
1960,2681
1961,4684
1962,155
1963,345
1964,3013
1965,879
1966,4735
1967,1274
1968,185
1969,267
1970,1715
1971,496
1972,2079
1973,4007
1974,1022
1975,817
1976,4088
1977,1835
1978,3274
1979,1945
1980,344
1981,2251
1982,1272
1983,4990
1984,4042
1985,187
1986,2433
1987,613
1988,4837
1989,1232
1990,2062
1991,3196
1992,760
1993,1239
1994,4033
1995,699
1996,80
1997,4296
1998,2145
1999,3512
2000,769
2001,351
2002,1951
2003,157
2004,3041
2005,2635
2006,2697
2007,531
2008,4426
2009,4508
2010,2231
2011,3432
2012,3807
2013,4418
2014,2832
2015,3698
2016,4117
2017,4376
2018,4474
2019,2766
2020,1983
2021,4489
2022,1306
2023,131
2024,927
2025,4565
2026,380
2027,4248
2028,3620
2029,506
2030,1721
2031,3798
2032,1863
2033,924
2034,3999
2035,4763
2036,2114
2037,1943
2038,3950
2039,1397
2040,4614
2041,4491
2042,2857
2043,1648
2044,271
2045,1981
2046,158
2047,3189
2048,1860
2049,4428
2050,3943
2051,807
2052,2073
2053,3
2054,2520
2055,2428
2056,247
2057,1192
2058,3525
2059,1387
2060,1933
2061,3105
2062,803
2063,2079
2064,3938
2065,2063
2066,2360
2067,415
2068,787
2069,1188
2070,1748
2071,1485
2072,222
2073,98
2074,302
2075,4678
2076,1687
2077,3826
2078,2255
2079,4136
2080,3301
2081,863
2082,4092
2083,4024
2084,2152
2085,1962
2086,3339
2087,1753
2088,392
2089,2962
2090,1246
2091,2288
2092,3025
2093,2851
2094,4281
2095,4767
2096,1009
2097,4197
2098,2204
2099,3181
2100,1154
2101,3679
2102,3393
2103,3654
2104,2234
2105,3536
2106,2904
2107,4396
2108,4022
2109,4771
2110,3333
2111,756
2112,3657
2113,3363
2114,147
2115,3310
2116,1831
2117,939
2118,463
2119,3231
2120,648
2121,145
2122,1683
2123,3394
2124,1226
2125,1339
2126,2273
2127,1337
2128,2774
2129,3495
2130,3016
2131,4145
2132,604
2133,2309
2134,1853
2135,1400
2136,967
2137,3591
2138,1678
2139,562
2140,2966
2141,1062
2142,2855
2143,1485
2144,1557
2145,657
2146,1862
2147,4496
2148,3506
2149,1443
2150,4508
2151,2875
2152,3952
2153,1902
2154,604
2155,3417
2156,665
2157,1823
2158,869
2159,3
2160,721
2161,2494
2162,1299
2163,1157
2164,2670
2165,1285
2166,4863
2167,1513
2168,2794
2169,4740
2170,4091
2171,205
2172,3175
2173,4353
2174,2848
2175,4510
2176,122
2177,1718
2178,1509
2179,3376
2180,1100
2181,1251
2182,150
2183,2673
2184,4288
2185,3679
2186,490
2187,3772
2188,289
2189,1573
2190,3924
2191,700
2192,2641
2193,4145
2194,4059
2195,3043
2196,4967
2197,3269
2198,1189
2199,2405
2200,1856
2201,3829
2202,801
2203,4236
2204,2232
2205,4199
2206,1978
2207,2010
2208,1174
2209,3804
2210,2369
2211,698
2212,3664
2213,3554
2214,936
2215,1252
2216,3806
2217,4364
2218,261
2219,3259
2220,2332
2221,743
2222,2920
2223,326
2224,320
2225,759
2226,4555
2227,3191
2228,351
2229,2814
2230,172
2231,4879
2232,3573
2233,1161
2234,186
2235,1375
2236,4388
2237,2060
2238,103
2239,3497
2240,3772
2241,3497
2242,4457
2243,4455
2244,660
2245,4617
2246,4375
2247,1639
2248,966
2249,2667
2250,2789
2251,4471
2252,3668
2253,3965
2254,2928
2255,3696
2256,4460
2257,12
2258,4510
2259,2995
2260,4853
2261,3957
2262,628
2263,2139
2264,1410
2265,4439
2266,1709
2267,993
2268,3107
2269,2282
2270,644
2271,3804
2272,895
2273,1686
2274,278
2275,151
2276,1772
2277,1109
2278,1959
2279,1054
2280,98
2281,4563
2282,3458
2283,4407
2284,56
2285,4216
2286,256
2287,1817
2288,1057
2289,865
2290,1731
2291,1887
2292,74
2293,15
2294,3135
2295,2477
2296,3210
2297,2786
2298,3079
2299,3523
2300,4842
2301,2974
2302,3315
2303,275
2304,705
2305,1263
2306,3733
2307,1432
2308,531
2309,2212
2310,3740
2311,767
2312,4147
2313,1267
2314,1062
2315,3445
2316,4338
2317,2234
2318,3094
2319,4237
2320,3799
2321,1563
2322,2489
2323,3635
2324,4048
2325,763
2326,3220
2327,4745
2328,1406
2329,1196
2330,4986
2331,1311
2332,1003
2333,4291
2334,1149
2335,2563
2336,632
2337,1607
2338,2606
2339,3724
2340,2300
2341,3598
2342,4844
2343,2496
2344,2838
2345,3191
2346,2636
2347,253
2348,3248
2349,3311
2350,3653
2351,4523
2352,273
2353,44
2354,4603
2355,1244
2356,2089
2357,2708
2358,4049
2359,1004
2360,2435
2361,2643
2362,3176
2363,2754
2364,3780
2365,4805
2366,4041
2367,3758
2368,2341
2369,3043
2370,2507
2371,2960
2372,4279
2373,1196
2374,3647
2375,3288
2376,3112
2377,45
2378,2386
2379,1396
2380,341
2381,1577
2382,3932
2383,2071
2384,4166
2385,3564
2386,4564
2387,1170
2388,1714
2389,1095
2390,4731
2391,1946
2392,1709
2393,1236
2394,3337
2395,1874
2396,296
2397,3787
2398,1795
2399,4185
2400,4575
2401,3943
2402,767
2403,82
2404,4222
2405,2014
2406,3414
2407,2283
2408,235
2409,1514
2410,2080
2411,2749
2412,4571
2413,2290
2414,3033
2415,2719
2416,3429
2417,3787
2418,705
2419,3514
2420,4532
2421,1239
2422,3480
2423,3537
2424,3535
2425,2160
2426,1907
2427,4421
2428,3202
2429,304
2430,3999
2431,2252
2432,1477
2433,172
2434,1914
2435,1326
2436,2645
2437,1144
2438,648
2439,432
2440,969
2441,4897
2442,3367
2443,2966
2444,4200
2445,3890
2446,3258
2447,2662
2448,1996
2449,3439
2450,1092
2451,4630
2452,1448
2453,2538
2454,3995
2455,3499
2456,4937
2457,4928
2458,2297
2459,4862
2460,2746
2461,3538
2462,3480
2463,1540
2464,4270
2465,4776
2466,4277
2467,156
2468,3651
2469,495
2470,330
2471,4000
2472,1646
2473,1486
2474,2119
2475,3249
2476,977
2477,3821
2478,2677
2479,3254
2480,3018
2481,989
2482,635
2483,2128
2484,4096
2485,4989
2486,4652
2487,4050
2488,1886
2489,2
2490,3751
2491,1691
2492,1560
2493,3262
2494,3115
2495,2913
2496,1289
2497,296
2498,1569
2499,2512
2500,4303
2501,3678
2502,973
2503,3161
2504,3271
2505,2856
2506,3278
2507,3358
2508,1604
2509,815
2510,1214
2511,2216
2512,492
2513,4826
2514,4476
2515,29
2516,890
2517,2489
2518,4606
2519,2113
2520,1355
2521,3220
2522,3268
2523,83
2524,2018
2525,521
2526,3606
2527,314
2528,4667
2529,2891
2530,3314
2531,3029
2532,3948
2533,4956
2534,2835
2535,4779
2536,1795
2537,336
2538,3100
2539,2330
2540,3951
2541,3261
2542,2658
2543,3054
2544,4783
2545,464
2546,3768
2547,45
2548,2712
2549,1962
2550,2253
2551,3543
2552,2477
2553,2941
2554,463
2555,1733
2556,2559
2557,3525
2558,164
2559,2866
2560,2426
2561,4747
2562,603
2563,623
2564,3909
2565,3833
2566,3937
2567,3458
2568,1103
2569,2149
2570,1944
2571,2394
2572,513
2573,2172
2574,4272
2575,4413
2576,3752
2577,3032
2578,1630
2579,1422
2580,3047
2581,2690
2582,1560
2583,1443
2584,2041
2585,926
2586,4346
2587,1808
2588,701
